generacion,peces,tiburones
397,110264,0
398,109455,0
399,106816,0
400,109834,0
401,109334,0
402,106701,0
403,109873,0
404,109280,0
405,106646,0
406,110037,0
407,109552,0
408,107032,0
409,110218,0
410,109530,0
411,106883,0
412,110199,0
413,109448,0
414,106829,0
415,109958,0
416,109412,0
417,106861,0
418,109955,0
419,109255,0
420,106716,0
421,110006,0
422,109155,0
423,106503,0
424,109622,0
425,108989,0
426,106542,0
427,110080,0
428,109366,0
429,106826,0
430,110199,0
431,109383,0
432,106852,0
433,110203,0
434,109326,0
435,106663,0
436,109925,0
437,109083,0
438,106462,0
439,109597,0
440,108869,0
441,106345,0
442,109715,0
443,108998,0
444,106445,0
445,109865,0
446,109007,0
447,106497,0
448,110032,0
449,109307,0
450,106683,0
451,110046,0
452,109215,0
453,106609,0
454,110068,0
455,109288,0
456,106695,0
457,110263,0
458,109471,0
459,106786,0
460,110033,0
461,109317,0
462,106502,0
463,110108,0
464,109442,0
465,106865,0
466,110181,0
467,109489,0
468,106885,0
469,110215,0
470,109507,0
471,106655,0
472,110113,0
473,109303,0
474,106593,0
475,109987,0
476,109321,0
477,106659,0
478,110149,0
479,109369,0
480,106466,0
481,109792,0
482,109396,0
483,106659,0
484,109851,0
485,109324,0
486,106761,0
487,110242,0
488,109435,0
489,106796,0
490,110224,0
491,109767,0
492,107002,0
493,110297,0
494,109343,0
495,106625,0
496,109968,0
497,109285,0
498,106606,0
499,110014,0
500,109231,0
501,106523,0
502,110072,0
503,109284,0
504,106349,0
505,109861,0
506,109420,0
507,106771,0
508,110257,0
509,109666,0
510,106910,0
511,110324,0
512,109806,0
513,106849,0
514,110365,0
515,109579,0
516,106448,0
517,110053,0
518,109437,0
519,106652,0
520,110159,0
521,109515,0
522,106555,0
523,109910,0
524,109310,0
525,106565,0
526,109914,0
527,109141,0
528,106274,0
529,109685,0
530,109458,0
531,106732,0
532,110051,0
533,109118,0
534,106319,0
535,110008,0
536,109129,0
537,106378,0
538,110073,0
539,109358,0
540,106386,0
541,110003,0
542,109252,0
543,106522,0
544,109919,0
545,109351,0
546,106673,0
547,110006,0
548,109614,0
549,106754,0
550,110205,0
551,109369,0
552,106576,0
553,110014,0
554,109565,0
555,106833,0
556,110406,0
557,109627,0
558,106963,0
559,110243,0
560,109698,0
561,107183,0
562,110497,0
563,109770,0
564,106982,0
565,110101,0
566,109448,0
567,106824,0
568,110159,0
569,109365,0
570,106789,0
571,110055,0
572,109359,0
573,106917,0
574,110372,0
575,109632,0
576,106977,0
577,110207,0
578,109625,0
579,106863,0
580,110211,0
581,109529,0
582,106668,0
583,110137,0
584,109732,0
585,106868,0
586,110218,0
587,109760,0
588,106977,0
589,110133,0
590,109550,0
591,106654,0
592,110106,0
593,109563,0
594,106777,0
595,110165,0
596,109760,0
597,107037,0
598,110462,0
599,109795,0
600,106807,0
601,110247,0
602,109769,0
603,106783,0
604,110234,0
605,109632,0
606,106684,0
607,110229,0
608,109500,0
609,106696,0
610,110089,0
611,109497,0
612,106432,0
613,109943,0
614,109415,0
615,106581,0
616,109825,0
617,109337,0
618,106397,0
619,109948,0
620,109636,0
621,106545,0
622,109956,0
623,109320,0
624,106283,0
625,109754,0
626,109165,0
627,106271,0
628,110015,0
629,109294,0
630,106373,0
631,109968,0
632,109416,0
633,106564,0
634,109883,0
635,109136,0
636,106416,0
637,110057,0
638,109330,0
639,106744,0
640,110356,0
641,109629,0
642,106581,0
643,110015,0
644,109370,0
645,106780,0
646,110593,0
647,109577,0
648,106874,0
649,110504,0
650,109599,0
651,106642,0
652,110460,0
653,109535,0
654,106712,0
655,110358,0
656,109524,0
657,106578,0
658,110366,0
659,109590,0
660,106707,0
661,110352,0
662,109304,0
663,106640,0
664,110315,0
665,109377,0
666,106717,0
667,110359,0
668,109398,0
669,106509,0
670,110183,0
671,109257,0
672,106391,0
673,110224,0
674,109348,0
675,106440,0
676,110367,0
677,109523,0
678,106553,0
679,110326,0
680,109449,0
681,106690,0
682,110515,0
683,109482,0
684,106730,0
685,110423,0
686,109344,0
687,106664,0
688,110388,0
689,109533,0
690,106643,0
691,110368,0
692,109562,0
693,106738,0
694,110368,0
695,109609,0
696,106724,0
697,110359,0
698,109880,0
699,106863,0
700,110232,0
701,109590,0
702,106636,0
703,109981,0
704,109358,0
705,106522,0
706,109993,0
707,109252,0
708,106406,0
709,110135,0
710,109436,0
711,106601,0
712,110236,0
713,109504,0
714,106792,0
715,110178,0
716,109437,0
717,106671,0
718,109954,0
719,109477,0
720,106736,0
721,110358,0
722,109923,0
723,106922,0
724,110244,0
725,109630,0
726,106829,0
727,110208,0
728,109630,0
729,106804,0
730,110114,0
731,109531,0
732,106688,0
733,110113,0
734,109628,0
735,106704,0
736,110159,0
737,109838,0
738,106729,0
739,110091,0
740,109619,0
741,106770,0
742,110213,0
743,109744,0
744,106840,0
745,110047,0
746,109591,0
747,106477,0
748,109851,0
749,109466,0
750,106627,0
751,110093,0
752,109667,0
753,106875,0
754,109996,0
755,109461,0
756,106451,0
757,109806,0
758,109262,0
759,106551,0
760,109813,0
761,109286,0
762,106826,0
763,110102,0
764,109340,0
765,106334,0
766,109883,0
767,109154,0
768,106471,0
769,109690,0
770,108960,0
771,106490,0
772,109701,0
773,109165,0
774,106720,0
775,110231,0
776,109606,0
777,106878,0
778,110127,0
779,109638,0
780,107071,0
781,110528,0
782,109945,0
783,107361,0
784,110511,0
785,109874,0
786,107266,0
787,110313,0
788,109688,0
789,106913,0
790,109968,0
791,109402,0
792,107003,0
793,110336,0
794,109359,0
795,106705,0
796,109723,0
797,109335,0
798,106535,0
799,110122,0
800,109409,0
801,106659,0
802,109917,0
803,109172,0
804,106546,0
805,109952,0
806,109381,0
807,106877,0
808,110013,0
809,109242,0
810,106751,0
811,110061,0
812,109466,0
813,106882,0
814,110106,0
815,109471,0
816,106770,0
817,110176,0
818,109634,0
819,107065,0
820,110207,0
821,109407,0
822,106933,0
823,110345,0
824,109387,0
825,107175,0
826,110335,0
827,109497,0
828,106981,0
829,110231,0
830,109418,0
831,106998,0
832,110393,0
833,109670,0
834,107139,0
835,110410,0
836,109492,0
837,106871,0
838,109962,0
839,109131,0
840,107085,0
841,110344,0
842,109716,0
843,107129,0
844,110348,0
845,109270,0
846,106910,0
847,110135,0
848,109528,0
849,107050,0
850,110417,0
851,109349,0
852,107020,0
853,110358,0
854,109450,0
855,106884,0
856,110209,0
857,109168,0
858,106590,0
859,109879,0
860,109080,0
861,106633,0
862,110102,0
863,109326,0
864,106645,0
865,110003,0
866,109411,0
867,106739,0
868,110236,0
869,109527,0
870,106846,0
871,110333,0
872,109460,0
873,106821,0
874,110229,0
875,109398,0
876,106727,0
877,110161,0
878,109339,0
879,106541,0
880,109949,0
881,109027,0
882,106622,0
883,109954,0
884,109339,0
885,106688,0
886,109849,0
887,108957,0
888,106292,0
889,109812,0
890,109282,0
891,106595,0
892,109846,0
893,109218,0
894,106501,0
895,109830,0
896,109210,0
897,106680,0
898,110110,0
899,109392,0
900,106687,0
901,110412,0
902,109820,0
903,107035,0
904,110382,0
905,109640,0
906,106851,0
907,110453,0
908,109718,0
909,106961,0
910,110386,0
911,109735,0
912,106737,0
913,110121,0
914,109336,0
915,106644,0
916,110178,0
917,109504,0
918,106850,0
919,110275,0
920,109608,0
921,106816,0
922,110061,0
923,109318,0
924,106639,0
925,109861,0
926,109294,0
927,106525,0
928,110332,0
929,109546,0
930,107033,0
931,110281,0
932,109487,0
933,106927,0
934,110343,0
935,109515,0
936,106843,0
937,110007,0
938,109526,0
939,106520,0
940,109819,0
941,109319,0
942,106538,0
943,109736,0
944,109392,0
945,106571,0
946,109857,0
947,109461,0
948,106864,0
949,110151,0
950,109631,0
951,106724,0
952,110298,0
953,109824,0
954,107014,0
955,110276,0
956,109644,0
957,107131,0
958,110661,0
959,109709,0
960,107000,0
961,110385,0
962,109633,0
963,106843,0
964,110297,0
965,109672,0
966,106939,0
967,110275,0
968,109690,0
969,106519,0
970,109778,0
971,109086,0
972,106447,0
973,109890,0
974,109121,0
975,106647,0
976,110033,0
977,109412,0
978,106689,0
979,110124,0
980,109652,0
981,106673,0
982,109848,0
983,109430,0
984,106516,0
985,109925,0
986,109433,0
987,106748,0
988,110136,0
989,109403,0
990,106695,0
991,110134,0
992,109622,0
993,106868,0
994,110293,0
995,109585,0
996,106688,0
997,110125,0
998,109827,0
999,107001,0
1000,110212,0
